Factory,FGSKUCode,ASSEMB_ITEM_DESC,ASSEMB_UOM,COMP_ITEM_CODE,COMP_DESC,COMP_UOM,COMP_QTY,Packing flag,retain_flag_BOM,BOM_version
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2011104265.0,BOTTOM FILM 350MX46CX150M ROLL,MTR,1.7,1.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2011104316.0,FRANKFURTER CARTON,EA,1.015,1.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2011104429.0,TAPE,EA,0.002,1.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2011114220.0,AMERICANA HOT DOG COVER ROLL N,MTR,1.7,1.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1001101002.0,BRAZILIAN BEEF FOREQUARTER,KGM,0.4409613375130617,0.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1001101007.0,BRAZILIAN BEEF TRIMMING,KGM,6.173458725182863,0.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102005.0,LUNCHEON CURE NO COLOR SS-381,KGM,0.1322884012539185,0.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102008.0,Soya Protein TVP,KGM,0.0793730407523511,0.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102011.0,WHITE PEPPER,KGM,0.0033072100313479,0.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102015.0,PHOSPHATE,KGM,0.0079373040752351,0.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102020.0,GARLIC POWDER,KGM,0.0019843260188087,0.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102030.0,NAT FOOD BREADCRUMB 3969 - 220,KGM,0.3086729362591432,0.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102055.0,FRANKFURTER FLAVOR,KGM,0.0066144200626959,0.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102110.0,SOYA PROTEIN CONCENTRATE,KGM,0.1543364681295716,0.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102198.0,CHICKEN FRANKFURTER SEAS SS-73,KGM,0.0661442006269592,0.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102559.0,WATER,KGM,3.174921630094044,0.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2011104111.0,PLAIN WIMPY BAG 90*60 CM,EA,0.1763845350052247,1.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2011104134.0,WEIGHT BAGS 35*45,KGM,0.0046300940438871,1.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2011104212.0,CASING 26 MM,EA,1.102403343782654,1.0,1,BOM-1
NFC,4001351001,Beef Hot Dog 450G X 20,CARTON,2011104500.0,SAW DUST,KGM,0.2204806687565308,1.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1001101002.0,BRAZILIAN BEEF FOREQUARTER,KGM,2.2727,0.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1001101007.0,BRAZILIAN BEEF TRIMMING,KGM,4.47732,0.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1005102559.0,WATER,KGM,3.2727,0.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102005.0,LUNCHEON CURE NO COLOR SS-381,KGM,0.1364,0.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102008.0,Soya Protein TVP,KGM,0.08099,0.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102011.0,WHITE PEPPER,KGM,0.0068,0.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102020.0,GARLIC POWDER,KGM,0.00198,0.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102030.0,NAT FOOD BREADCRUMB 3969 - 220,KGM,0.34694,0.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102055.0,FRANKFURTER FLAVOR,KGM,0.0068,0.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102110.0,SOYA PROTEIN CONCENTRATE,KGM,0.15672,0.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102154.0,POLY PHOSPHATE (MIX),KGM,0.00796,0.0,1,BOM-1
KFC,4001351001,Beef Hot Dog 450G X 20,CARTON,1006102198.0,CHICKEN FRANKFURTER SEAS SS-73,KGM,0.05,0.0,1,BOM-1
