Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY,Sort Order,Primary Item Code,Original Description,Original UOM
4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),1.0,CRT,Ingredient,2012104329,BROWN CARTON 185*295*555,EA,1.02,0,0.0,1.02,0.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),1.0,CRT,Ingredient,2012104429,TAPE,EA,0.002,0,0.0,0.002,0.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),1.0,CRT,Ingredient,2012114003,HOT CH. BURGER PKT - 12X18,EA,18.56,0,0.0,18.56,0.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),1.0,CRT,Ingredient,3001237092,CHICKEN BURGER SPICY,KGM,13.66,0,0.0,13.66,0.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001237092,CHICKEN BURGER SPICY,1300.85,KGM,Ingredient,1001101127,CHICKEN TRIMMING,KGM,765.0,0,0.0,765.0,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001237092,CHICKEN BURGER SPICY,1300.85,KGM,Ingredient,1005102133,LIQUID ONION,KGM,0.7,0,0.0,0.7,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001237092,CHICKEN BURGER SPICY,1300.85,KGM,Ingredient,1006102009,TABLE SALT,KGM,10.4,0,0.0,10.4,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001237092,CHICKEN BURGER SPICY,1300.85,KGM,Ingredient,1006102014,MONOSODIUM,KGM,2.1,0,0.0,2.1,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001237092,CHICKEN BURGER SPICY,1300.85,KGM,Ingredient,1006102015,PHOSPHATE,KGM,1.6,0,0.0,1.6,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001237092,CHICKEN BURGER SPICY,1300.85,KGM,Ingredient,1006102017,FLOUR,KGM,30.0,0,0.0,30.0,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
