Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY,Sort Order,Primary Item Code,Original Description,Original UOM
4001351001,Beef Hot Dog 450G X 20,1.0,CRT,Ingredient,2011104265,BOTTOM FILM 350MX46CX150M ROLL,MTR,1.7,0,0.0,1.7,0.0,4001351001,Beef Hot Dog 450G X 20,CRT
4001351001,Beef Hot Dog 450G X 20,1.0,CRT,Ingredient,2011104316,FRANKFURTER CARTON,EA,1.015,0,0.0,1.015,0.0,4001351001,Beef Hot Dog 450G X 20,CRT
4001351001,Beef Hot Dog 450G X 20,1.0,CRT,Ingredient,2011104429,TAPE,EA,0.002,0,0.0,0.002,0.0,4001351001,Beef Hot Dog 450G X 20,CRT
4001351001,Beef Hot Dog 450G X 20,1.0,CRT,Ingredient,2011114220,AMERICANA HOT DOG COVER ROLL N,MTR,1.7,0,0.0,1.7,0.0,4001351001,Beef Hot Dog 450G X 20,CRT
4001351001,Beef Hot Dog 450G X 20,1.0,CRT,Ingredient,3001351090,SPICY HOTDOG AMERICANA,KGM,10.55,0,0.0,10.55,0.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,1001101002,BRAZILIAN BEEF FOREQUARTER,KGM,10.0,0,0.0,10.0,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,1001101007,BRAZILIAN BEEF TRIMMING,KGM,140.0,0,0.0,140.0,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,1006102005,LUNCHEON CURE NO COLOR SS-381,KGM,3.0,0,0.0,3.0,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,1006102008,Soya Protein TVP,KGM,1.8,0,0.0,1.8,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,1006102011,WHITE PEPPER,KGM,0.075,0,0.0,0.075,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,1006102015,PHOSPHATE,KGM,0.18,0,0.0,0.18,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,1006102020,GARLIC POWDER,KGM,0.045,0,0.0,0.045,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,1006102030,NAT FOOD BREADCRUMB 3969 - 220,KGM,7.0,0,0.0,7.0,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,1006102055,FRANKFURTER FLAVOR,KGM,0.15,0,0.0,0.15,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,1006102110,SOYA PROTEIN CONCENTRATE,KGM,3.5,0,0.0,3.5,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,1006102198,CHICKEN FRANKFURTER SEAS SS-73,KGM,1.5,0,0.0,1.5,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,1006102559,WATER,KGM,72.0,0,0.0,72.0,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,2011104111,PLAIN WIMPY BAG 90*60 CM,EA,4.0,0,0.0,4.0,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,2011104134,WEIGHT BAGS 35*45,KGM,0.105,0,0.0,0.105,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,2011104212,CASING 26 MM,EA,25.0,0,0.0,25.0,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
3001351090,SPICY HOTDOG AMERICANA,239.25,KGM,Ingredient,2011104500,SAW DUST,KGM,5.0,0,0.0,5.0,1.0,4001351001,Beef Hot Dog 450G X 20,CRT
4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),1.0,CRT,Ingredient,2011104329,BROWN CARTON 185*295*555,EA,1.015,0,0.0,1.015,0.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),1.0,CRT,Ingredient,2011104400,GLUE,KGM,0.016,0,0.0,0.016,0.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),1.0,CRT,Ingredient,2011104429,TAPE,EA,0.002,0,0.0,0.002,0.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),1.0,CRT,Ingredient,2011104598,DOMINO IK-901BKS-1 - INK,EA,0.0002,0,0.0,0.0002,0.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),1.0,CRT,Ingredient,2011114610,ZINGZ CHICKEN BURGER PACKET N3,EA,18.557,0,0.0,18.557,0.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),1.0,CRT,Ingredient,3001370191,CHICKEN BURGER SPICY,KGM,12.4,0,0.0,12.4,0.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1001101127,CHICKEN TRIMMING,KGM,765.0,0,0.0,765.0,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1005102057,PALM OIL,KGM,15.0,0,0.0,15.0,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1005102133,LIQUID ONION,KGM,0.7,0,0.0,0.7,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102009,TABLE SALT,KGM,9.5,0,0.0,9.5,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102014,MONOSODIUM,KGM,2.1,0,0.0,2.1,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102015,PHOSPHATE,KGM,1.6,0,0.0,1.6,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102017,FLOUR,KGM,30.0,0,0.0,30.0,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102020,GARLIC POWDER,KGM,0.8,0,0.0,0.8,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102021,GINGER POWDER,KGM,1.2,0,0.0,1.2,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102022,CARAWAY,KGM,1.2,0,0.0,1.2,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102024,CELERY SALT,KGM,1.2,0,0.0,1.2,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102040,DRIED ONION MINCED,KGM,2.0,0,0.0,2.0,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102042,ARABIC STARCH,KGM,15.0,0,0.0,15.0,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102058,NFC RUSK DYR- FSR 30351,KGM,24.0,0,0.0,24.0,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102100,CHILI POWDER,KGM,7.5,0,0.0,7.5,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102161,PAKISTANI CHILI POWDER,KGM,4.15,0,0.0,4.15,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102196,NAT FOOD BREADCRUMB 7042 - 222,KGM,210.0,0,0.0,210.0,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102410,NEWLYWEDS BREADCRUMB FOR ESCAL,KGM,75.0,0,0.0,75.0,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,1006102560,WATER,KGM,64.0,0,0.0,64.0,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,2011104111,PLAIN WIMPY BAG 90*60 CM,EA,40.0,0,0.0,40.0,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001370191,CHICKEN BURGER SPICY,1329.95,KGM,Ingredient,3001378952,STRIPS BATTER,KGM,100.0,0,0.0,100.0,1.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,85.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,75.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,65.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,55.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,45.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,35.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,25.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,15.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,5.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,85.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,75.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,65.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,55.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,45.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,35.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,25.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,15.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,5.0,KGM,Ingredient,3001379998,MARINADE CHICKEN BREAST,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,85.0,KGM,Ingredient,3001490882,DEFROSTED CHICKEN BREAST MIX,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,75.0,KGM,Ingredient,3001490882,DEFROSTED CHICKEN BREAST MIX,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,65.0,KGM,Ingredient,3001490882,DEFROSTED CHICKEN BREAST MIX,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,55.0,KGM,Ingredient,3001490882,DEFROSTED CHICKEN BREAST MIX,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,45.0,KGM,Ingredient,3001490882,DEFROSTED CHICKEN BREAST MIX,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,35.0,KGM,Ingredient,3001490882,DEFROSTED CHICKEN BREAST MIX,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,25.0,KGM,Ingredient,3001490882,DEFROSTED CHICKEN BREAST MIX,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,15.0,KGM,Ingredient,3001490882,DEFROSTED CHICKEN BREAST MIX,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
1001101127,CHICKEN TRIMMING,5.0,KGM,Ingredient,3001490882,DEFROSTED CHICKEN BREAST MIX,KGM,100.0,0,0.0,100.0,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001378952,STRIPS BATTER,300.0,KGM,Ingredient,1006102256,WHEAT GLUTEN,KGM,4.5,0,0.0,4.5,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
3001378952,STRIPS BATTER,300.0,KGM,Ingredient,1006102110,SOYA PROTEIN CONCENTRATE,KGM,13.03,0,0.0,13.03,2.0,4001370158,ZINGZ BREADED CHICKEN BURGER 12 PCS (18*12*56GM),CRT
