,FactCode,LineNum,Unified code,MOQ,EnergyCostPerUnit,CrewSize,ThruputPerHour,retain_flag
0,NFC,F,4001351001,,0.13447741935147678,15.0,172.2222222222222,1
1,KFC,Tiromat,4001351001,,0.035209517163789714,20.000001,66.0,1
2,NFC,F,4001351022,,0.13447741935147678,15.0,172.2222222222222,1
3,NFC,C1,4001370158,,0.06363428571269486,18.0,109.375,1
4,NFC,C2,4001370158,,0.07636114285523382,18.0,91.14583333333333,1
5,NFC,C4,4001370158,,0.04550711351237583,18.0,152.9431216931217,1
6,NFC,New Line 1,4001370158,,0.04550711351237583,18.0,152.9431216931217,1
7,NFC,New Line 2,4001370158,,0.04550711351237583,18.0,152.9431216931217,1
8,GFC,B1,4001370158,,0.3141810134035796,16.0,132.2751322751323,1
9,GFC,B2,4001370158,,0.3141810134035796,16.0,132.2751322751323,1
10,NFC,C2,4001370255,,0.03567341242060153,12.0,191.0666666666667,1
11,NFC,C3,4001370255,,0.025559999999360997,12.0,266.6666666666667,1
12,NFC,C5,4001370255,,0.025559999999360997,12.0,266.6666666666667,1
13,NFC,New Line 1,4001370255,,0.025559999999360997,12.0,266.6666666666667,1
14,NFC,New Line 2,4001370255,,0.025559999999360997,12.0,266.6666666666667,1
15,GFC,B1,4001370255,,0.16608159532783143,16.0,266.6666666666667,1
17,GFC,B2,4001370255,,0.16608159532783143,16.0,266.6666666666667,1
19,KFC,Rivo,4001370255,,0.014520057000946026,9.000001,179.52,1
20,NFC,C1,4001370283,,0.04868571428449714,17.0,140.0,1
21,NFC,C2,4001370283,,0.042599999998935,17.0,160.0,1
22,NFC,C3,4001370283,,0.04868571428449714,17.0,140.0,1
23,NFC,C5,4001370283,,0.04868571428449714,17.0,140.0,1
24,NFC,New Line 1,4001370283,,0.042599999998935,17.0,160.0,1
25,NFC,New Line 2,4001370283,,0.042599999998935,17.0,160.0,1
26,NFC,C1,4001370325,,0.04868571428449714,17.0,140.0,1
27,NFC,C2,4001370325,,0.04868571428449714,17.0,140.0,1
28,NFC,C3,4001370325,,0.04868571428449714,17.0,140.0,1
29,NFC,C5,4001370325,,0.040895999998977584,17.0,166.6666666666667,1
30,NFC,New Line 1,4001370325,,0.040895999998977584,17.0,166.6666666666667,1
31,NFC,New Line 2,4001370325,,0.040895999998977584,17.0,166.6666666666667,1
32,NFC,C1,4001370707,,0.1033663366310792,22.0,67.33333333333333,1
33,NFC,C2,4001370707,,0.08948571428347714,22.0,77.77777777777777,1
34,NFC,C3,4001370707,,0.1033663366310792,22.0,67.33333333333333,1
35,NFC,C5,4001370707,,0.10330241187125788,22.0,67.375,1
36,NFC,New Line 1,4001370707,,0.08948571428347714,22.0,77.77777777777777,1
37,NFC,New Line 2,4001370707,,0.08948571428347714,22.0,77.77777777777777,1
38,NFC,C2,4001370809,,0.15398399999615037,28.0,125.0,1
39,NFC,C3,4001370809,,0.15398399999615037,28.0,125.0,1
40,NFC,C5,4001370809,,0.14548752834103398,28.0,132.3,1
41,NFC,New Line 1,4001370809,,0.14548752834103398,28.0,132.3,1
42,NFC,New Line 2,4001370809,,0.14548752834103398,28.0,132.3,1
43,NFC,C1,4001370846,,0.2036825396774476,32.0,94.5,1
44,NFC,C2,4001370846,,0.2036825396774476,32.0,94.5,1
45,NFC,C3,4001370846,,0.2036825396774476,32.0,94.5,1
46,NFC,C5,4001370846,,0.2036825396774476,32.0,94.5,1
47,NFC,New Line 1,4001370846,,0.2036825396774476,32.0,94.5,1
48,NFC,New Line 2,4001370846,,0.2036825396774476,32.0,94.5,1
49,GFC,B1,4001370846,,0.39411967877460496,35.0,125.0,1
51,GFC,B2,4001370846,,0.39411967877460496,35.0,125.0,1
53,NFC,C2,4001371504,,0.07371428571244286,36.0,196.0,1
54,NFC,C3,4001371504,,0.07371428571244286,36.0,196.0,1
55,NFC,C5,4001371504,,0.060199999998495,36.0,240.0,1
56,NFC,New Line 1,4001371504,,0.060199999998495,36.0,240.0,1
57,NFC,New Line 2,4001371504,,0.060199999998495,36.0,240.0,1
58,GFC,B1,4001371504,,0.21048300367302328,35.0,240.0,1
60,GFC,B2,4001371504,,0.21048300367302328,35.0,240.0,1
62,NFC,C2,4001371505,,0.07371428571244286,36.0,196.0,1
63,NFC,C3,4001371505,,0.07371428571244286,36.0,196.0,1
64,NFC,C5,4001371505,,0.060199999998495,36.0,240.0,1
65,NFC,New Line 1,4001371505,,0.060199999998495,36.0,240.0,1
66,NFC,New Line 2,4001371505,,0.060199999998495,36.0,240.0,1
67,GFC,B1,4001371505,,0.21048300367302328,35.0,240.0,1
69,GFC,B2,4001371505,,0.21048300367302328,35.0,240.0,1
71,NFC,C1,4001371508,,0.1456084656048254,36.0,99.225,1
72,NFC,C2,4001371508,,0.12530789245133392,36.0,115.3,1
73,NFC,C3,4001371508,,0.12530789245133392,36.0,115.3,1
74,NFC,C5,4001371508,,0.11842622950523606,36.0,122.0,1
75,NFC,New Line 1,4001371508,,0.11842622950523606,36.0,122.0,1
76,NFC,New Line 2,4001371508,,0.11842622950523606,36.0,122.0,1
77,GFC,B1,4001371508,,0.49632319530959335,35.0,100.0,1
79,GFC,B2,4001371508,,0.49632319530959335,35.0,100.0,1
81,NFC,C1,4001371509,,0.1456084656048254,36.0,99.225,1
82,NFC,C2,4001371509,,0.12530789245133392,36.0,115.3,1
83,NFC,C3,4001371509,,0.12530789245133392,36.0,115.3,1
84,NFC,C5,4001371509,,0.11842622950523606,36.0,122.0,1
85,NFC,New Line 1,4001371509,,0.11842622950523606,36.0,122.0,1
86,NFC,New Line 2,4001371509,,0.11842622950523606,36.0,122.0,1
87,GFC,B1,4001371509,,0.49632319530959335,35.0,100.0,1
89,GFC,B2,4001371509,,0.49632319530959335,35.0,100.0,1
91,NFC,G64,4001310160,,0.06033333333182499,14.0,144.0,1
92,NFC,G76,4001310160,,0.05678431372407058,14.0,153.0,1
93,NFC,G76,4001310161,,0.04518205458944114,15.0,198.1317600786628,1
94,NFC,G64,4001310610,,0.059236363634882695,16.0,146.6666666666667,1
95,NFC,G76,4001310610,,0.059236363634882695,16.0,146.6666666666667,1
96,NFC,F,4001350207,,0.08737548386878335,17.0,172.2222222222222,1
97,KFC,Tiromat,4001350207,,0.06134259270827053,28.000001,67.5,1
98,NFC,F,4001351007,,0.13447741935147678,15.0,172.2222222222222,1
99,NFC,F,4001351112,,0.13447741935147678,15.0,172.2222222222222,1
100,NFC,G64,4001360101,,0.035323076922193844,12.0,195.0,1
101,KFC,Rivo,4001360101,,0.0118192392326781,10.000001,182.7,1
102,KFC,Ultra Formax,4001360101,,0.012702205928295816,10.000001,170.0,1
103,NFC,G64,4001360117,,0.03199587096694203,15.0,215.2777777777778,1
104,KFC,Ultra Formax,4001360144,,0.07230000024992597,23.000001,31.25,1
105,KFC,Ultra Formax,4001360145,,0.07230000024992597,29.000001,31.25,1
106,KFC,Ultra Formax,4001360147,,0.0819492190233536,23.000001,28.57142857142857,1
107,NFC,G64,4001370119,,0.06033333333182499,13.0,144.0,1
108,NFC,G76,4001370119,,0.06033333333182499,13.0,144.0,1
109,KFC,Ultra Formax,4001370119,,0.015473090332015407,14.000001,144.0,1
110,NFC,G64,4001370150,,0.059236363634882695,15.0,146.6666666666667,1
111,NFC,G76,4001370150,,0.059236363634882695,15.0,146.6666666666667,1
112,KFC,Ultra Formax,4001370150,,0.016879734907653172,17.000001,132.0,1
113,NFC,C1,4001370231,,0.034295304694447304,16.0,208.5416666666667,1
114,NFC,C2,4001370231,,0.034295304694447304,16.0,208.5416666666667,1
115,NFC,C3,4001370231,,0.03065142857066229,16.0,233.3333333333333,1
116,NFC,C5,4001370231,,0.03065142857066229,16.0,233.3333333333333,1
117,NFC,New Line 1,4001370231,,0.03065142857066229,16.0,233.3333333333333,1
118,NFC,New Line 2,4001370231,,0.03065142857066229,16.0,233.3333333333333,1
119,KFC,Rivo,4001370231,,0.016960747000200407,15.000001,159.4444444444444,1
120,NFC,C1,4001370235,,0.034295304694447304,16.0,208.5416666666667,1
121,NFC,C2,4001370235,,0.034295304694447304,16.0,208.5416666666667,1
122,NFC,C3,4001370235,,0.02919183673396408,16.0,245.0,1
123,NFC,C5,4001370235,,0.02919183673396408,16.0,245.0,1
124,NFC,New Line 1,4001370235,,0.02919183673396408,16.0,245.0,1
125,NFC,New Line 2,4001370235,,0.02919183673396408,16.0,245.0,1
126,KFC,Rivo,4001370235,,0.014461480656736529,14.000001,187.0,1
127,NFC,C1,4001370264,,0.04203624489690826,17.0,170.1388888888889,1
128,NFC,C2,4001370264,,0.03838091925369885,17.0,186.3425925925926,1
129,NFC,C3,4001370264,,0.040125506492503356,17.0,178.2407407407407,1
130,NFC,C5,4001370264,,0.040125506492503356,17.0,178.2407407407407,1
131,NFC,New Line 1,4001370264,,0.03838091925369885,17.0,186.3425925925926,1
132,NFC,New Line 2,4001370264,,0.03838091925369885,17.0,186.3425925925926,1
133,KFC,Rivo,4001370264,,0.017988671060818615,14.000001,150.3333333333333,1
134,NFC,C1,4001370265,,0.034295304694447304,15.0,208.5416666666667,1
135,NFC,C2,4001370265,,0.034295304694447304,15.0,208.5416666666667,1
136,NFC,C3,4001370265,,0.027834810810114928,15.0,256.9444444444445,1
137,NFC,C5,4001370265,,0.027834810810114928,15.0,256.9444444444445,1
138,NFC,New Line 1,4001370265,,0.027834810810114928,15.0,256.9444444444445,1
139,NFC,New Line 2,4001370265,,0.027834810810114928,15.0,256.9444444444445,1
140,KFC,Rivo,4001370265,,0.014461480656736529,14.000001,187.0,1
141,NFC,C1,4001370316,,0.04433651344208327,12.0,153.7333333333333,1
142,NFC,C2,4001370316,,0.03745054944961318,12.0,182.0,1
143,NFC,C3,4001370316,,0.02921142857069829,12.0,233.3333333333333,1
144,NFC,C5,4001370316,,0.02921142857069829,12.0,233.3333333333333,1
145,NFC,New Line 1,4001370316,,0.02921142857069829,12.0,233.3333333333333,1
146,NFC,New Line 2,4001370316,,0.02921142857069829,12.0,233.3333333333333,1
147,GFC,B1,4001370316,,0.2634895974618818,17.0,173.3333333333333,1
149,GFC,B2,4001370316,,0.2634895974618818,17.0,173.3333333333333,1
151,KFC,Rivo,4001370316,,0.014545985674162003,10.000001,179.2,1
152,NFC,C1,4001370318,,0.04458389610278149,18.0,160.4166666666667,1
