Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY
4001370106,BREADED CHICKEN BURGER 15PCS (8*15*56GM),1,CRT,Ingredient,2012104201,CLIPS 744,EA,8.14,0,0,8.14
4001370106,BREADED CHICKEN BURGER 15PCS (8*15*56GM),1,CRT,Ingredient,2012104368,CHICKEN BURGER 8 X15 CARTON,EA,1.015,0,0,1.015
4001370106,BREADED CHICKEN BURGER 15PCS (8*15*56GM),1,CRT,Ingredient,2012104429,TAPE,EA,0.002,0,0,0.002
4001370106,BREADED CHICKEN BURGER 15PCS (8*15*56GM),1,CRT,Ingredient,2012114801,CHICKEN BURGER BAG N3,EA,8.14,0,0,8.14
4001370106,BREADED CHICKEN BURGER 15PCS (8*15*56GM),1,CRT,Ingredient,3001237091,CHICKEN BURGER,KGM,6.847,0,0,6.847
3001237086,ZINGER BATTER,3,KGM,Ingredient,1006102327,*ZINGER BATTER BM 400 / 2,KGM,1,0,0,1
3001237086,ZINGER BATTER,3,KGM,Ingredient,1006102559,WATER,KGM,2,0,0,2
3001237087,BREADING ZINGER AMERICANA SHRI,50,KGM,Ingredient,1006102009,TABLE SALT,KGM,1.29,0,0,1.29
3001237087,BREADING ZINGER AMERICANA SHRI,50,KGM,Ingredient,1006102011,WHITE PEPPER,KGM,0.24,0,0,0.24
3001237087,BREADING ZINGER AMERICANA SHRI,50,KGM,Ingredient,1006102013,BAKING POWDER,KGM,1.22,0,0,1.22
3001237087,BREADING ZINGER AMERICANA SHRI,50,KGM,Ingredient,1006102017,FLOUR,KGM,43.56,0,0,43.56
3001237087,BREADING ZINGER AMERICANA SHRI,50,KGM,Ingredient,1006102042,ARABIC STARCH,KGM,3.69,0,0,3.69
3001237090,MARINATED TENDER CHICKEN AMRCN,132.73,KGM,Ingredient,1001102625,PLUSSTABIL HVC,KGM,0.49,0,0,0.49
3001237090,MARINATED TENDER CHICKEN AMRCN,132.73,KGM,Ingredient,1001102626,PHOSPHATE 450 STABILIZER,KGM,0.49,0,0,0.49
3001237090,MARINATED TENDER CHICKEN AMRCN,132.73,KGM,Ingredient,1006102009,TABLE SALT,KGM,0.33,0,0,0.33
3001237090,MARINATED TENDER CHICKEN AMRCN,132.73,KGM,Ingredient,1006102559,WATER,KGM,31.42,0,0,31.42
3001237090,MARINATED TENDER CHICKEN AMRCN,132.73,KGM,Ingredient,3001490882,DEFROSTED CHICKEN BREAST MIX,KGM,100,0,0,100
3001237091,CHICKEN BURGER,1423.11,KGM,Ingredient,1001101127,CHICKEN TRIMMING,KGM,792.28,0,0,792.28
3001237091,CHICKEN BURGER,1423.11,KGM,Ingredient,1006102009,TABLE SALT,KGM,7.1,0,0,7.1
3001237091,CHICKEN BURGER,1423.11,KGM,Ingredient,1006102014,MONOSODIUM,KGM,1.48,0,0,1.48
3001237091,CHICKEN BURGER,1423.11,KGM,Ingredient,1006102017,FLOUR,KGM,24,0,0,24
3001237091,CHICKEN BURGER,1423.11,KGM,Ingredient,1006102020,GARLIC POWDER,KGM,0.49,0,0,0.49
3001237091,CHICKEN BURGER,1423.11,KGM,Ingredient,1006102021,GINGER POWDER,KGM,1.78,0,0,1.78
3001237091,CHICKEN BURGER,1423.11,KGM,Ingredient,1006102022,CARAWAY,KGM,1.78,0,0,1.78
3001237091,CHICKEN BURGER,1423.11,KGM,Ingredient,1006102024,CELERY SALT,KGM,1.38,0,0,1.38
