Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY
3001330166,AMERICANA MINCED BEEF WITH SPICES,1005,KGM,Ingredient,1001101002,BRAZILIAN BEEF FOREQUARTER,KGM,200,14.2041411538684,0,200
3001330166,AMERICANA MINCED BEEF WITH SPICES,1005,KGM,Ingredient,1001101007,BRAZILIAN BEEF TRIMMING,KGM,300,9.55126225285403,0,300
3001330166,AMERICANA MINCED BEEF WITH SPICES,1005,KGM,Ingredient,1001101102,BEEF BODY FAT,KGM,100,4.35173609807417,0,100
3001330166,AMERICANA MINCED BEEF WITH SPICES,1005,KGM,Ingredient,1001103024,Frozen Whole Onion,KGM,55.7,2.7,0,55.7
3001330166,AMERICANA MINCED BEEF WITH SPICES,1005,KGM,Ingredient,1006102008,Soya Protein TVP,KGM,90,3.45030087310618,0,90
3001330166,AMERICANA MINCED BEEF WITH SPICES,1005,KGM,Ingredient,1006102009,TABLE SALT,KGM,9.08,0.7,0,9.08
3001330166,AMERICANA MINCED BEEF WITH SPICES,1005,KGM,Ingredient,1006102010,BLACK PEPPER POWDER,KGM,2.201,24.9885435024324,0,2.201
3001330166,AMERICANA MINCED BEEF WITH SPICES,1005,KGM,Ingredient,1006102015,PHOSPHATE,KGM,3.016,11.4907503295098,0,3.016
3001330166,AMERICANA MINCED BEEF WITH SPICES,1005,KGM,Ingredient,1006102035,CINNAMON,KGM,0.503,17.9818869520623,0,0.503
3001330166,AMERICANA MINCED BEEF WITH SPICES,1005,KGM,Ingredient,1006102559,WATER,KGM,244.5,0.0104851074691908,0,244.5
3001330166,AMERICANA MINCED BEEF WITH SPICES,1005,KGM,Ingredient,2011104111,PLAIN WIMPY BAG 90*60 CM,EA,2,0.540041222880608,0,2
3001330166,AMERICANA MINCED BEEF WITH SPICES,1005,KGM,Ingredient,2011104134,WEIGHT BAGS 35*45,KGM,0.021,7.7500255931951,0,0.021
3001302085,MINCED LAMB CATERING,1117,KGM,Ingredient,1001101007,BRAZILIAN BEEF TRIMMING,KGM,73,9.55126225285403,0,73
3001302085,MINCED LAMB CATERING,1117,KGM,Ingredient,1001101102,BEEF BODY FAT,KGM,65,4.35173609807417,0,65
3001302085,MINCED LAMB CATERING,1117,KGM,Ingredient,1001101103,MUTTON TRIMMING,KGM,27,7.58312515390555,0,27
3001302085,MINCED LAMB CATERING,1117,KGM,Ingredient,1006102008,Soya Protein TVP,KGM,245,3.45030087310618,0,245
3001302085,MINCED LAMB CATERING,1117,KGM,Ingredient,1006102009,TABLE SALT,KGM,5,0.7,0,5
3001302085,MINCED LAMB CATERING,1117,KGM,Ingredient,1006102015,PHOSPHATE,KGM,2,11.4907503295098,0,2
3001302085,MINCED LAMB CATERING,1117,KGM,Ingredient,1006102559,WATER,KGM,700,0.0104851074691908,0,700
3001302085,MINCED LAMB CATERING,1117,KGM,Ingredient,2011104111,PLAIN WIMPY BAG 90*60 CM,EA,2,0.540041222880608,0,2
3001302098,PREMIUM MINCED LAMB,1013,KGM,Ingredient,1001101106,MOUTON TRIMMING 50 CL,KGM,50,6.29133203831293,0,50
3001302098,PREMIUM MINCED LAMB,1013,KGM,Ingredient,1006102008,Soya Protein TVP,KGM,247,3.45030087310618,0,247
3001302098,PREMIUM MINCED LAMB,1013,KGM,Ingredient,1006102009,TABLE SALT,KGM,5,0.7,0,5
3001302098,PREMIUM MINCED LAMB,1013,KGM,Ingredient,1006102015,PHOSPHATE,KGM,3,11.4907503295098,0,3
3001302098,PREMIUM MINCED LAMB,1013,KGM,Ingredient,1006102559,WATER,KGM,708,0.0104851074691908,0,708
3001302098,PREMIUM MINCED LAMB,1013,KGM,Ingredient,2011104111,PLAIN WIMPY BAG 90*60 CM,EA,2,0.540041222880608,0,2
3001302099,ROYAL MINCED LAMB,1032,KGM,Ingredient,1001101007,BRAZILIAN BEEF TRIMMING,KGM,50,9.55126225285403,0,50
3001302099,ROYAL MINCED LAMB,1032,KGM,Ingredient,1001101106,MOUTON TRIMMING 50 CL,KGM,50,6.29133203831293,0,50
3001302099,ROYAL MINCED LAMB,1032,KGM,Ingredient,1006102008,Soya Protein TVP,KGM,235,3.45030087310618,0,235
3001302099,ROYAL MINCED LAMB,1032,KGM,Ingredient,1006102009,TABLE SALT,KGM,5,0.7,0,5
3001302099,ROYAL MINCED LAMB,1032,KGM,Ingredient,1006102015,PHOSPHATE,KGM,2,11.4907503295098,0,2
3001302099,ROYAL MINCED LAMB,1032,KGM,Ingredient,1006102559,WATER,KGM,690,0.0104851074691908,0,690
3001302099,ROYAL MINCED LAMB,1032,KGM,Ingredient,2011104111,PLAIN WIMPY BAG 90*60 CM,EA,2,0.540041222880608,0,2
3001310179,ANGUS BEEF BURGER,635.04,KGM,Ingredient,1001101002,BRAZILIAN BEEF FOREQUARTER,KGM,312.5,14.2041411538684,0,312.5
3001310179,ANGUS BEEF BURGER,635.04,KGM,Ingredient,1001101007,BRAZILIAN BEEF TRIMMING,KGM,75,9.55126225285403,0,75
3001310179,ANGUS BEEF BURGER,635.04,KGM,Ingredient,1001101140,ANGUS BRISKET,KGM,156.25,16.4792531068044,0,156.25
3001310179,ANGUS BEEF BURGER,635.04,KGM,Ingredient,1001103024,Frozen Whole Onion,KGM,33.333,2.7,0,33.333
3001310179,ANGUS BEEF BURGER,635.04,KGM,Ingredient,1006102009,TABLE SALT,KGM,3,0.7,0,3
3001310179,ANGUS BEEF BURGER,635.04,KGM,Ingredient,1006102015,PHOSPHATE,KGM,2.4,11.4907503295098,0,2.4
3001310179,ANGUS BEEF BURGER,635.04,KGM,Ingredient,1006102046,MODIFIED STARCH,KGM,11.22,7.49999999886883,0,11.22
3001310179,ANGUS BEEF BURGER,635.04,KGM,Ingredient,1006102136,STABLITON,KGM,0.12,204.743704621557,0,0.12
