ASSEMB_ITEM_CODE,COMP_ORG_COUNT,COMP_ORG_IDS
4001370244,2,"GFC, NFC"
4001370804,2,"GFC, NFC"
4001370813,2,"KFC, NFC"
4001370816,2,"KFC, NFC"
4001370823,2,"KFC, NFC"
4001370831,2,"GFC, NFC"
4001370840,2,"GFC, NFC"
4001370845,2,"GFC, NFC"
4001370846,2,"GFC, NFC"
4001370852,2,"GFC, NFC"
4001371504,2,"GFC, NFC"
4001371505,2,"GFC, NFC"
4001371508,2,"GFC, NFC"
4001371509,2,"GFC, NFC"
4001371511,2,"GFC, NFC"
4001371512,2,"GFC, NFC"
4001371514,2,"GFC, NFC"
4001371540,2,"GFC, NFC"
4001371541,2,"GFC, NFC"
4001371547,2,"GFC, NFC"
4001371548,2,"GFC, NFC"
4001371549,2,"GFC, NFC"
4001371550,2,"GFC, NFC"
4001371551,2,"GFC, NFC"
4001380896,2,"GFC, NFC"
4001470114,2,"KFC, NFC"
4001470116,2,"KFC, NFC"
4001971958,2,"GFC, NFC"
4001971961,2,"GFC, NFC"
4001971962,2,"GFC, NFC"
4001971965,2,"GFC, NFC"
4001971992,2,"GFC, NFC"
4001971993,2,"GFC, NFC"
4001972038,2,"GFC, NFC"
4001972039,2,"GFC, NFC"
4001370200,1,NFC
4001370324,1,GFC
4001370336,1,KFC
4001370354,1,KFC
4001370355,1,KFC
4001370801,1,NFC
4001370807,1,NFC
4001370809,1,NFC
4001370810,1,NFC
4001370815,1,NFC
4001370818,1,NFC
4001370824,1,NFC
4001370837,1,NFC
4001370838,1,NFC
4001370839,1,NFC
4001370842,1,NFC
4001370854,1,NFC
4001370857,1,NFC
4001370862,1,NFC
4001370863,1,NFC
4001370889,1,NFC
4001370902,1,NFC
4001370913,1,NFC
4001371104,1,GFC
4001371109,1,GFC
4001371201,1,GFC
4001371206,1,GFC
4001371304,1,GFC
4001371537,1,NFC
4001371538,1,NFC
4001371539,1,NFC
4001371552,1,GFC
4001371553,1,GFC
4001371554,1,GFC
4001371555,1,GFC
4001371574,1,GFC
4001371580,1,GFC
4001371581,1,GFC
4001371590,1,GFC
4001371781,1,GFC
4001371881,1,GFC
4001380893,1,KFC
4001470103,1,GFC
4001470128,1,GFC
4001471109,1,NFC
4001471110,1,NFC
4001471111,1,GFC
4001471112,1,GFC
4001471501,1,NFC
4001471502,1,GFC
4001971948,1,GFC
4001972032,1,NFC
4001972040,1,NFC
4001972043,1,NFC
4001972062,1,NFC
4001972074,1,NFC
4001972077,1,NFC
4001972078,1,NFC
4001972093,1,GFC
4001972094,1,GFC
4001972101,1,GFC
4001972102,1,GFC
4001972128,1,NFC
4001972129,1,NFC
4001972135,1,NFC
4001972141,1,NFC
4001972142,1,NFC
4001972143,1,NFC
4001972146,1,GFC
4001972159,1,NFC
4001972168,1,NFC
4001972220,1,NFC
4001972221,1,NFC
4001972228,1,NFC
4001972229,1,NFC
4001972230,1,NFC
4001972231,1,NFC
4001972240,1,GFC
4001972241,1,GFC
4001972242,1,GFC
4001972243,1,GFC
4001972253,1,GFC
4001972254,1,GFC
4001972274,1,GFC
4001972275,1,GFC
4001972276,1,GFC
4001972277,1,GFC
4001972298,1,NFC
